timestamp,free (mebibytes),used (mebibytes),cached (mebibytes),buffers (mebibytes),anomaly%,annotations
1781910573000,492.7275846,1319.5980404,2004.7876563,50.945319,-,-
1781910624000,457.6026953,1350.9501562,2008.3633854,51.1423438,-,-
1781910675000,440.1722656,1360.8265625,2015.6886068,51.3710775,-,-
1781910726000,465.3564258,1328.6228776,2022.4931641,51.5861849,-,-
1781910777000,472.5978613,1320.8685091,2022.8157878,51.7764388,-,-
1781910828000,473.1065365,1319.6384115,2023.3388281,51.9748177,-,-
1781910879000,461.1597233,1317.0543945,2037.6847786,52.1597819,-,-
1781910930000,422.308724,1333.29375,2060.869987,51.5861654,-,-
1781910981000,380.333724,1359.9182161,2077.272168,50.5343978,-,-
1781911032000,359.9246615,1379.3203646,2078.9886979,49.8247526,-,-
1781911083000,352.6302995,1386.9725716,2078.5272331,49.9284277,-,-
1781911134000,408.1364062,1346.6492578,2064.3144141,48.9585091,-,-
1781911185000,466.1947591,1306.7519206,2047.3400716,47.7718913,-,-
1781911236000,476.5158724,1296.4625521,2047.4229167,47.6572396,-,-
1781911287000,433.6260547,1331.1358398,2055.3175911,47.979043,-,-
1781911338000,378.1648698,1380.7119531,2060.7952344,48.3864909,-,-
1781911389000,356.5094889,1401.6343359,2060.9989453,48.9158236,-,-
1781911440000,347.8481771,1409.6360677,2061.4622396,49.1121094,-,-
1781911491000,371.2993229,1385.4717187,2061.9908333,49.2967741,-,-
1781911542000,393.5997526,1341.0125651,2083.5914323,49.8549089,-,-
1781911593000,375.1010189,1331.6991797,2111.573737,49.6846875,-,-
1781911644000,363.7231641,1352.4593229,2104.3591146,47.5169922,-,-
1781911695000,382.4756348,1370.0579427,2070.7171875,44.8078125,-,-
1781911746000,396.8189779,1354.8138932,2071.4203125,45.0053516,-,-
1781911797000,427.8674967,1322.9097852,2072.0511719,45.2301367,-,-
1781911848000,445.8782552,1297.6868229,2078.9397396,45.5536719,-,-
1781911899000,447.8136263,1287.969388,2086.473151,45.8024251,-,-
1781911950000,404.0031576,1305.8369792,2112.4783854,45.7401042,-,-
1781912001000,316.0176074,1328.9705208,2180.0811198,42.9893685,-,-
1781912052000,218.1697396,1307.3650595,2304.8670833,37.6567634,-,-
1781912103000,171.6905208,1201.1816564,2459.9915885,35.1948214,-,-
1781912154000,312.9879687,1266.350173,2260.6298437,28.0904911,-,-
1781912205000,363.4258952,1320.647819,2157.1186849,26.8661133,-,-
1781912256000,325.6181641,1374.1590625,2141.3288542,26.952526,-,-
1781912307000,346.6352832,1389.4170833,2105.9567318,26.049502,-,-
1781912358000,416.8651497,1378.6463542,2047.861875,24.6851302,-,-
1781912409000,433.154056,1374.8118099,2035.5582682,24.534349,-,-
1781912460000,465.273763,1333.0221354,2044.9625,24.8001953,-,-
1781912511000,482.9695345,1305.4551302,2054.5575391,25.0764453,-,-
1781912562000,321.8375,1381.8751302,2141.730625,22.6154492,-,-
1781912613000,542.0371549,1681.410918,1627.6589388,16.9516406,-,-
1781912664000,760.2274479,1909.1716927,1185.3196615,13.3397917,-,-
1781912715000,729.4547852,1919.0282552,1205.9171224,13.658431,-,-
1781912766000,728.0856185,1895.0741797,1230.891901,14.0068945,-,-
1781912817000,752.6399382,1868.0819206,1233.0565234,14.2802116,-,-
1781912868000,1177.7965495,1421.1450781,1254.4944792,14.622487,-,-
1781912919000,1263.1418685,1326.0551888,1263.9627539,14.8988249,-,-
1781912970000,1257.4134115,1328.9914714,1266.5001953,15.1535482,-,-
1781913021000,1260.188724,1325.0162109,1267.4203906,15.4332682,-,-
1781913072000,1254.9045573,1328.718125,1268.7008333,15.7350911,-,-
1781913123000,1253.7341211,1328.1416146,1270.1889583,15.9939616,-,-
1781913174000,1267.4382682,1298.6032292,1285.7439583,16.2731445,-,-
1781913225000,1269.2432943,1290.9558594,1291.3520833,16.5073568,-,-
1781913276000,1219.9706771,1320.8511979,1310.4938021,16.7429557,-,-
1781913327000,1139.5778548,1365.7416406,1345.7301107,17.0090527,-,-
1781913378000,1084.7904362,1391.5857552,1374.4049349,17.277513,-,-
1781913429000,1098.5085807,1375.199043,1376.8296094,17.5213607,-,-
1781913480000,1133.0072917,1329.0102865,1388.2023437,17.8386719,-,-
1781913531000,1134.0154492,1323.1106445,1392.8538802,18.0786198,-,-
1781913582000,1119.8186589,1333.5398698,1396.3866927,18.3133724,-,-
1781913633000,1106.8485286,1341.5893685,1401.0632292,18.5574674,-,-
1781913684000,1091.0509115,1349.2641406,1408.9394792,18.8040625,-,-
1781913735000,1065.2839355,1363.91875,1419.7753906,19.0805176,-,-
1781913786000,963.8107552,1386.8388542,1498.1053906,19.3035938,-,-
1781913837000,367.1955339,1403.4585677,2078.8805078,18.5239844,-,-
1781913888000,320.2863542,1402.6095313,2126.6132292,18.5495313,-,-
1781913939000,347.8692285,1367.6155208,2133.7602799,18.8135449,-,-
1781913990000,376.0059896,1336.8155599,2136.1705729,19.0664714,-,-
1781914041000,378.7649251,1325.5703451,2144.4296029,19.2937402,-,-
1781914092000,360.6882812,1327.6647396,2160.1611979,19.5442969,-,-
1781914143000,357.2898145,1328.7382552,2162.2957943,19.7346094,-,-
1781914194000,400.3471289,1325.5148958,2122.7657031,19.4309115,-,-
1781914245000,407.5732422,1319.4945638,2121.4455729,19.5451823,-,-
1781914296000,389.7682682,1323.0164583,2135.4926042,19.7811979,-,-
1781914347000,388.397373,1321.8835352,2138.1404492,19.6372005,-,-
1781914398000,392.9460547,1325.1058724,2130.6836328,19.3229948,-,-
1781914449000,377.7913411,1340.4534375,2130.4194792,19.3942448,-,-
1781914500000,409.2003906,1308.3057292,2130.93125,19.6213542,-,-
1781914551000,406.4539388,1310.1416406,2131.6053841,19.8576497,-,-
1781914602000,343.6958854,1370.1694271,2134.1337891,20.0594922,-,-
1781914653000,323.1758138,1428.4027083,2097.5289323,18.9512109,-,-
1781914704000,347.574974,1451.8321875,2050.9744271,17.6770833,-,-
1781914755000,390.7470052,1432.4358073,2027.5868164,17.2889811,-,-
1781914806000,434.3692448,1387.7213411,2028.4108724,17.557194,-,-
1781914857000,444.4926562,1376.7641992,2028.9714518,17.8302897,-,-
1781914908000,490.4649219,1329.9708073,2029.5544271,18.0684375,-,-
1781914959000,480.6547461,1325.0084115,2044.0405078,18.3549284,-,-
1781915010000,391.6377604,1361.6201172,2096.4873698,18.3133789,-,-
1781915061000,334.194375,1398.5256315,2117.3519727,17.9866569,-,-
1781915112000,370.929362,1406.1676563,2073.1946875,17.766901,-,-
1781915163000,369.9456087,1406.2140365,2073.8042057,18.0948047,-,-
1781915214000,404.040293,1371.53625,2074.1767448,18.3053125,-,-
1781915265000,418.6385417,1346.2135417,2084.6270182,18.5794922,-,-
1781915316000,420.24375,1338.5745833,2090.4144271,18.8258333,-,-
1781915367000,401.3566471,1355.2437174,2092.3817969,19.0764616,-,-
1781915418000,382.0616146,1373.5754557,2093.0786979,19.3428711,-,-
